"Action","Azione"
"An error occurred while writing to the backup file ""%s"".","Si è verificato un errore durante la scrittura nel file di backup ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Il file di Backup ""%s"" non può essere letto o scritto."
"Backup file ""%s"" does not exist.","Il file di Backup ""%s"" non esiste."
"Backup file does not exist.","Il file di Backup non esiste."
"Backup file handler was unspecified.","Il gestore del file di Backup non è stato specificato."
"Backup file path was not specified.","Il percorso del file di Backup non è stato specificato."
"Backups","Backups"
"Cannot read backup file.","Impossibile leggere il file di backup."
"Create Backup","Crea Backup"
"DB","DB"
"Database was successfuly backed up.","Il backup del Database è riuscito."
"Download","Download"
"Size, Bytes","Dimenzione, Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","Il file è stato compresso con Zlib, ma questa estensione non è installata sul server."
"Time","Ora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Impossibile creare il backup. Riprovare più tardi."
"Wrong order of creation for new backup.","Ordine errato per la creazione del nuovo backup."
