"%s codes deleted","%s codice cancellato"
"%s codes imported","%s codice è stato importato"
"%s codes not imported","%s il codice non è stato importato"
"%s product in feed.","%s Il prodotto è nei feed."
"%s product not in feed.","%s il prodotto non è nei feed."
"Add new","Aggiungi nuovo"
"Attrib. Set Name","Nome del set di attributi"
"Attributes map","Mappa set attributi"
"Cron Frequency","Frequenza Cron"
"Cron Hour","Ore Cron"
"Delete","Cancella"
"Eav code","Codice Eav"
"FTP Password","Password FTP "
"FTP Path","Percorso FTP "
"FTP Server","Server FTP "
"FTP Settings","Impostazioni FTP "
"FTP User","Utente FTP "
"FTP: Can\'t delete files","FTP: Impossibile cancellare i file"
"Feed","Feed"
"Feed code","Codice Feed"
"ID","ID"
"Import","Importa"
"Import attribute map","Importa mappa attributi"
"Import code","Importa codice"
"In feed","Nei feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Per accedere alle informazioni del tuo account FTP, devi prima registrarti e verificare il negozio TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> per iniziare."
"Is imported","Importato"
"Item params","Parametri oggetti"
"Manage attributes","Gestione attributi"
"Manage items","Gestione oggetti"
"Not import","Non importato"
"Not publish","Non pubblicato"
"Price","Prezzo"
"Product Name","Nome prodotto"
"Product import","Importa prodotto"
"Publish","Pubblicato"
"SKU","SKU"
"Settings","Impostazioni"
"The Find","The Find"
"TheFind Feed Filename","TheFind Feed Filename"
"TheFind feed","TheFind feed"
"Type","Tipo"
"Unable to process an import. ","Impossibile completare l'importazione"
"Update TheFind Item when Product is Updated","Aggiornare TheFind oggetto quando il prodotto è aggiornato"
