Alert Email Sender,Avviso email mittente
Alert subscription has been saved.,Avviso iscrizione salvato
Allow Alert When Product Comes Back in Stock,Consenti avviso quando il prodotto torna in magazzino
Allow Alert When Product Price Changes,Consenti avviso quando i prodotti cambiano prezzo
Click here not to receive alerts for this product,Clicca qui per ricevere avvisi sul prodotto
Error Email Recipient,Errore destinatario email
Error Email Sender,Errore mittente email
Error Email Template,Errore template email
Frequency,Frequenza
Not enough parameters.,Nessun parametro
Price Alert Email Template,Prezzo avviso email template
Price:,Prezzo:
Product Alerts,Avviso prodotti
Product Alerts Run Settings,Avviso prodotti avvia impostazioni
Product alerts Cron error,Errore allerta prodotti Cron
Product price alert,Avviso prezzo prodotto
Product stock alert,Avviso magazzino prodotto
Regular Price:,Prezzo predefinito:
Sign up for price alert,Iscriviti alle notifiche prezzo
Sign up to get notified when this product is back in stock,Accedi per essere avvisato quando il prodotto torna in magazzino.
Special price:,Prezzo speciale:
Start Time,Inizio
Stock Alert Email Template,Avviso magazzino Email Template
The alert subscription has been deleted.,L'iscrizione è stata cancellata.
The alert subscription has been saved.,L'iscrizione è stata salvata.
The product is not found.,Prodotto non trovato
The product was not found.,Il prodotto non è stato trovato
Unable to update the alert subscription.,Impossibile aggiornare avviso iscrizione
Unsubscribe from all price alerts,Cancellati da tutti gli avvisi dei prezzi
Unsubscribe from all stock alerts,Cancellati da tutti gli avvisi del magazzino
You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:,Riceverai questa notifica perché la tua iscrizione riceve avvisi quando i seguenti prodotti tornano in magazzino.
You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:,Riceverai questa notifica perché la tua iscrizione riceve avvisi quando i seguenti prodotti hanno subito dei cambianti di prezzo:
You will no longer receive price alerts for this product.,Non riceverai più avvisi per questo prodotto
You will no longer receive stock alerts for this product.,Non riceverai più avvisi di magazzino per questo prodotto
You will no longer receive stock alerts.,Non riceverai più avvisi di magazzino
